1,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Observo mi entorno,2020-01-25 17:59:38-05
2,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,"Formulo preguntas sobre objetos, organismos y fenómenos de mi entorno y exploro posibles respuestas.",2020-01-25 18:09:12.615079-05
3,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Hago conjeturas para responder mis preguntas.,2020-01-25 18:09:36.94675-05
4,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Diseño y realizo experiencias para poner a prueba mis conjeturas.,2020-01-25 18:09:49.893086-05
5,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Identifico condiciones que influyen en los resultados de una experiencia.,2020-01-25 18:10:01.774452-05
6,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,"Realizo mediciones con instrumentos convencionales (regla, metro, termómetro, reloj, balanza...) y no convencionales (vasos, tazas, cuartas, pies, pasos...).",2020-01-25 18:10:47.84349-05
7,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,"Registro mis observaciones en forma organizada y rigurosa (sin alteraciones), utilizando dibujos, palabras y números.",2020-01-25 18:11:00.282171-05
8,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,"Busco información en diversas fuentes (libros, Internet, experiencias propias y de otros...) y doy el crédito correspondiente.",2020-01-25 18:11:12.64371-05
9,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Selecciono la información apropiada para dar respuesta a mis preguntas.,2020-01-25 18:11:21.967689-05
10,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,"Analizo, con la ayuda del profesor, si la información obtenida es suficiente para contestar mis preguntas.",2020-01-25 18:11:29.857976-05
11,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Persisto en la búsqueda de respuestas a mis preguntas.,2020-01-25 18:11:39.022035-05
12,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Propongo respuestas a mis preguntas y las comparo con las de otras personas.,2020-01-25 18:11:46.870306-05
13,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Comunico de diferentes maneras el proceso de indagación y los resultados obtenidos.,2020-01-25 18:12:03.453072-05
14,Ciencias Naturales,1-3,Entorno vivo,Establezco relaciones entre las funciones de los cinco sentidos. ,2020-01-25 18:12:03.453072-05
15,Ciencias Naturales,1-3,Entorno vivo,Describo mi cuerpo y el de mis compañeros y compañeras. ,2020-01-25 18:12:03.453072-05
16,Ciencias Naturales,1-3,Entorno vivo,"Describo características de seres vivos y objetos inertes, establezco semejanzas y diferencias entre ellos y los clasifico. ",2020-01-25 18:12:03.453072-05
17,Ciencias Naturales,1-3,Entorno vivo,Propongo y verifico necesidades de los seres vivos. ,2020-01-25 18:12:03.453072-05
18,Ciencias Naturales,1-3,Entorno vivo,Observo y describo cambios en mi desarrollo y en el de otros seres vivos. ,2020-01-25 18:12:03.453072-05
19,Ciencias Naturales,1-3,Entorno vivo,Describo y verifico ciclos de vida de seres vivos. ,2020-01-25 18:12:03.453072-05
20,Ciencias Naturales,1-3,Entorno vivo,Reconozco que los hijos y las hijas se parecen a sus padres y describo algunas características que se heredan. ,2020-01-25 18:12:03.453072-05
21,Ciencias Naturales,1-3,Entorno vivo,"Identifico y describo la flora, la fauna, el agua y el suelo de mi entorno. ",2020-01-25 18:12:03.453072-05
22,Ciencias Naturales,1-3,Entorno vivo,Explico adaptaciones de los seres vivos al ambiente. ,2020-01-25 18:12:03.453072-05
23,Ciencias Naturales,1-3,Entorno vivo,Comparo fósiles y seres vivos; identifico características que se mantienen en el tiempo. ,2020-01-25 18:12:03.453072-05
24,Ciencias Naturales,1-3,Entorno vivo,Identifico patrones comunes a los seres vivos.,2020-01-25 18:12:03.453072-05
25,Ciencias Naturales,1-3,Entorno físico,Describo y clasifico objetos según características que percibo con los cinco sentidos. ,2020-01-25 18:12:03.453072-05
26,Ciencias Naturales,1-3,Entorno físico,Propongo y verifico diversas formas de medir sólidos y líquidos. ,2020-01-25 18:12:03.453072-05
27,Ciencias Naturales,1-3,Entorno físico,Establezco relaciones entre magnitudes y unidades de medida apropiadas. ,2020-01-25 18:12:03.453072-05
28,Ciencias Naturales,1-3,Entorno físico,"Identifico diferentes estados físicos de la materia (el agua, por ejemplo) y verifico causas para cambios de estado. ",2020-01-25 18:12:03.453072-05
29,Ciencias Naturales,1-3,Entorno físico,"Identifico y comparo fuentes de luz, calor y sonido y su efecto sobre diferentes seres vivos. ",2020-01-25 18:12:03.453072-05
30,Ciencias Naturales,1-3,Entorno físico,Identifico situaciones en las que ocurre transferencia de energía térmica y realizo experiencias para verificar el fenómeno. ,2020-01-25 18:12:03.453072-05
31,Ciencias Naturales,1-3,Entorno físico,"Clasifico luces según color, intensidad y fuente. ",2020-01-25 18:12:03.453072-05
32,Ciencias Naturales,1-3,Entorno físico,"Clasifico sonidos según tono, volumen y fuente. ",2020-01-25 18:12:03.453072-05
33,Ciencias Naturales,1-3,Entorno físico,Propongo experiencias para comprobar la propagación de la luz y del sonido. ,2020-01-25 18:12:03.453072-05
34,Ciencias Naturales,1-3,Entorno físico,"Identifico tipos de movimiento en seres vivos y objetos, y las fuerzas que los producen. ",2020-01-25 18:12:03.453072-05
35,Ciencias Naturales,1-3,Entorno físico,Verifico las fuerzas a distancia generadas por imanes sobre diferentes objetos. ,2020-01-25 18:12:03.453072-05
36,Ciencias Naturales,1-3,Entorno físico,Construyo circuitos eléctricos simples con pilas. ,2020-01-25 18:12:03.453072-05
37,Ciencias Naturales,1-3,Entorno físico,"Registro el movimiento del Sol, la Luna y las estrellas en el cielo, en un periodo de tiempo.",2020-01-25 18:12:03.453072-05
38,Ciencias Naturales,1-3,"Ciencia, tecnología y sociedad",Clasifico y comparo objetos según sus usos. ,2020-01-25 18:12:03.453072-05
39,Ciencias Naturales,1-3,"Ciencia, tecnología y sociedad",Diferencio objetos naturales de objetos creados por el ser humano. ,2020-01-25 18:12:03.453072-05
40,Ciencias Naturales,1-3,"Ciencia, tecnología y sociedad",Identifico objetos que emitan luz o sonido. ,2020-01-25 18:12:03.453072-05
41,Ciencias Naturales,1-3,"Ciencia, tecnología y sociedad",Identifico circuitos eléctricos en mi entorno. ,2020-01-25 18:12:03.453072-05
42,Ciencias Naturales,1-3,"Ciencia, tecnología y sociedad",Analizo la utilidad de algunos aparatos eléctricos a mi alrededor. ,2020-01-25 18:12:03.453072-05
43,Ciencias Naturales,1-3,"Ciencia, tecnología y sociedad",Identifico aparatos que utilizamos hoy y que no se utilizaban en épocas pasadas. ,2020-01-25 18:12:03.453072-05
44,Ciencias Naturales,1-3,"Ciencia, tecnología y sociedad",Asocio el clima con la forma de vida de diferentes comunidades. ,2020-01-25 18:12:03.453072-05
45,Ciencias Naturales,1-3,"Ciencia, tecnología y sociedad",Identifico necesidades de cuidado de mi cuerpo y el de otras personas.,2020-01-25 18:12:03.453072-05
46,Ciencias Naturales,1-3,Desarrollo compromisos personales y sociales,Escucho activamente a mis compañeros y compañeras y reconozco puntos de vista diferentes. ,2020-01-25 18:12:03.453072-05
47,Ciencias Naturales,1-3,Desarrollo compromisos personales y sociales,Valoro y utilizo el conocimiento de diversas personas de mi entorno. ,2020-01-25 18:12:03.453072-05
48,Ciencias Naturales,1-3,Desarrollo compromisos personales y sociales,Cumplo mi función y respeto la de otras personas en el trabajo en grupo. ,2020-01-25 18:12:03.453072-05
49,Ciencias Naturales,1-3,Desarrollo compromisos personales y sociales,"Reconozco la importancia de animales, plantas, agua y suelo de mi entorno y propongo estrategias para cuidarlos. ",2020-01-25 18:12:03.453072-05
50,Ciencias Naturales,1-3,Desarrollo compromisos personales y sociales,Respeto y cuido los seres vivos y los objetos de mi entorno.,2020-01-25 18:12:03.453072-05
51,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Observo el mundo en el que vivo. ,2020-01-25 18:12:03.453072-05
52,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Formulo preguntas a partir de una observación o experiencia y escojo algunas de ellas para buscar posibles respuestas. ,2020-01-25 18:12:03.453072-05
53,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Propongo explicaciones provisionales para responder mis preguntas. ,2020-01-25 18:12:03.453072-05
54,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Identifico condiciones que influyen en los resultados de una experiencia y que pueden permanecer constantes o cambiar (variables). ,2020-01-25 18:12:03.453072-05
55,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Diseño y realizo experimentos modificando una sola variable para dar respuesta a preguntas. ,2020-01-25 18:12:03.453072-05
56,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,"Realizo mediciones con instrumentos convencionales (balanza, báscula, cronómetro, termómetro...) y no convencionales (paso, cuarta, pie, braza, vaso...). ",2020-01-25 18:12:03.453072-05
57,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,"Registro mis observaciones, datos y resultados de manera organizada y rigurosa (sin alteraciones), en forma escrita y utilizando esquemas, gráficos y tablas. ",2020-01-25 18:12:03.453072-05
58,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,"Busco información en diversas fuentes (libros, Internet, experiencias y experimentos propios y de otros…) y doy el crédito correspondiente. ",2020-01-25 18:12:03.453072-05
59,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Establezco relaciones entre la información y los datos recopilados. ,2020-01-25 18:12:03.453072-05
60,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Selecciono la información que me permite responder a mis preguntas y determino si es suficiente. ,2020-01-25 18:12:03.453072-05
61,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,"Saco conclusiones de mis experimentos, aunque no obtenga los resultados esperados. ",2020-01-25 18:12:03.453072-05
62,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Propongo respuestas a mis preguntas y las comparo con las de otras personas. ,2020-01-25 18:12:03.453072-05
63,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,Persisto en la búsqueda de respuestas a mis preguntas. ,2020-01-25 18:12:03.453072-05
64,Ciencias Naturales,4-5,Me aproximo al conocimiento como científico-a natural,"Comunico, oralmente y por escrito, el proceso de indagación y los resultados que obtengo.",2020-01-25 18:12:03.453072-05
65,Ciencias Naturales,4-5,Entorno vivo,Explico la importancia de la célula como unidad básica de los seres vivos. ,2020-01-25 18:12:03.453072-05
66,Ciencias Naturales,4-5,Entorno vivo,Identifico los niveles de organización celular de los seres vivos. ,2020-01-25 18:12:03.453072-05
67,Ciencias Naturales,4-5,Entorno vivo,Identifico en mi entorno objetos que cumplen funciones similares a las de mis órganos y sustento la comparación. ,2020-01-25 18:12:03.453072-05
68,Ciencias Naturales,4-5,Entorno vivo,Represento los diversos sistemas de órganos del ser humano y explico su función. ,2020-01-25 18:12:03.453072-05
69,Ciencias Naturales,4-5,Entorno vivo,"Clasifico seres vivos en diversos grupos taxonómicos (plantas, animales, microorganismos…). ",2020-01-25 18:12:03.453072-05
70,Ciencias Naturales,4-5,Entorno vivo,"Indago acerca del tipo de fuerza (compresión, tensión o torsión) que puede fracturar diferentes tipos de huesos. ",2020-01-25 18:12:03.453072-05
71,Ciencias Naturales,4-5,Entorno vivo,Identifico máquinas simples en el cuerpo de seres vivos y explico su función. ,2020-01-25 18:12:03.453072-05
72,Ciencias Naturales,4-5,Entorno vivo,"Investigo y describo diversos tipos de neuronas, las comparo entre sí y con circuitos eléctricos. ",2020-01-25 18:12:03.453072-05
73,Ciencias Naturales,4-5,Entorno vivo,Analizo el ecosistema que me rodea y lo comparo con otros. ,2020-01-25 18:12:03.453072-05
74,Ciencias Naturales,4-5,Entorno vivo,Identifico adaptaciones de los seres vivos teniendo en cuenta las características de los ecosistemas en que viven. ,2020-01-25 18:12:03.453072-05
75,Ciencias Naturales,4-5,Entorno vivo,Explico la dinámica de un ecosistema teniendo en cuenta las necesidades de energía y nutrientes de los seres vivos (cadena alimentaria). ,2020-01-25 18:12:03.453072-05
76,Ciencias Naturales,4-5,Entorno vivo,Identifico fenómenos de camuflaje en el entorno y los relaciono con las necesidades de los seres vivos.,2020-01-25 18:12:03.453072-05
77,Ciencias Naturales,4-5,Entorno físico,Describo y verifico el efecto de la transferencia de energía térmica en los cambios de estado de algunas sustancias. ,2020-01-25 18:12:03.453072-05
78,Ciencias Naturales,4-5,Entorno físico,"Verifico la posibilidad de mezclar diversos líquidos, sólidos y gases. ",2020-01-25 18:12:03.453072-05
79,Ciencias Naturales,4-5,Entorno físico,Propongo y verifico diferentes métodos de separación de mezclas. ,2020-01-25 18:12:03.453072-05
80,Ciencias Naturales,4-5,Entorno físico,Establezco relaciones entre objetos que tienen masas iguales y volúmenes diferentes o viceversa y su posibilidad de flotar. ,2020-01-25 18:12:03.453072-05
